symbols,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,TAGS,Exchange
CPB,Campbell Soup Company,Consumer Non-durables,Food: Major Diversified,XLP - Consumer Staples,,NASDAQ
CPRT,Copart Inc,Commercial Services,Miscellaneous Commercial Services,XLI - Industrials,,NASDAQ
CPT,Camden Property Trust,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
CRL,Charles River Laboratories International Inc,Health Technology,Biotechnology,XLV - Health Care,,NYSE
CRM,Salesforce Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
CRWD,CrowdStrike Holdings Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
CSCO,Cisco Systems Inc,Electronic Technology,Telecommunications Equipment,XLK - Technology,,NASDAQ
CSGP,CoStar Group Inc,Commercial Services,Financial Publishing/Services,XLRE - Real State,,NASDAQ
CSIQ,Canadian Solar Inc,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NASDAQ
CSX,CSX Corporation,Transportation,Railroads,XLI - Industrials,,NASDAQ
CTAS,Cintas Corporation,Commercial Services,Miscellaneous Commercial Services,XLI - Industrials,,NASDAQ
CTRA,Coterra Energy Inc,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
CTSH,Cognizant Technology Solutions Corporation,Technology Services,Information Technology Services,XLK - Technology,,NASDAQ
CTVA,Corteva Inc,Process Industries,Chemicals: Agricultural,XLB - Materials,,NYSE
CVLT,CommVault Systems Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
CVS,CVS Health Corporation,Health Services,Medical/Nursing Services,XLV - Health Care,,NYSE
CVX,Chevron Corporation,Energy Minerals,Integrated Oil,XLE - Energy,,NYSE
CWT,California Water Service Group,Utilities,Water Utilities,XLU - Utilities,,NYSE
CYBR,CyberArk Software Ltd,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
CZR,Caesars Entertainment Inc,Consumer Services,Casinos/Gaming,XLY - Consumer Discretionary,,NASDAQ
D,Dominion Energy Inc,Utilities,Electric Utilities,XLU - Utilities,,NYSE
DAL,Delta Air Lines Inc,Transportation,Airlines,XLI - Industrials,airlines,NYSE
DASH,DoorDash Inc,Technology Services,Other Transportation,XLY - Consumer Discretionary,,NASDAQ
DAY,Dayforce Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
DD,DuPont de Nemours Inc,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
DDOG,Datadog Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
DE,Deere & Company,Producer Manufacturing,Trucks/Construction/Farm Machinery,XLI - Industrials,,NYSE
DECK,Deckers Outdoor Corporation,Consumer Non-durables,Apparel/Footwear,XLY - Consumer Discretionary,,NYSE
DELL,Dell Technologies Inc,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NYSE
DG,Dollar General Corporation,Retail Trade,Discount Stores,XLP - Consumer Staples,,NYSE
DGX,Quest Diagnostics Incorporated,Health Services,Medical/Nursing Services,XLV - Health Care,,NYSE
DHI,DR Horton Inc,Consumer Durables,Homebuilding,XLY - Consumer Discretionary,,NYSE
DHR,Danaher Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
DIS,The Walt Disney Company,Consumer Services,Movies/Entertainment,XLC - Communication Services,,NYSE
DLR,Digital Realty Trust Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
DLTR,Dollar Tree Inc,Retail Trade,Discount Stores,XLP - Consumer Staples,,NASDAQ
DMLP,Dorchester Minerals LP,Energy Minerals,Oil & Gas Production,XLE - Energy,,NASDAQ
DOC,Healthpeak Properties Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
DOCN,DigitalOcean Holdings Inc,Technology Services,Internet Software/Services,XLK - Technology,,NYSE
DOCU,DocuSign Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
DOL,Dollarama Inc,Retail Trade,Discount Stores,XLP - Consumer Staples,,PCX
DOV,Dover Corporation,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
DOW,Dow Inc,Process Industries,Chemicals: Major Diversified,XLB - Materials,,NYSE
DPZ,Dominos Pizza Inc,Consumer Services,Restaurants,XLY - Consumer Discretionary,,NASDAQ
DQ,Daqo New Energy Corp,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NYSE
DRI,Darden Restaurants Inc,Consumer Services,Restaurants,XLY - Consumer Discretionary,,NYSE
DTE,DTE Energy Company,Utilities,Electric Utilities,XLU - Utilities,,NYSE
DUK,Duke Energy Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
DVA,DaVita Inc,Health Services,Medical/Nursing Services,XLV - Health Care,,NYSE
DVN,Devon Energy Corporation,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
DXCM,DexCom Inc,Health Technology,Medical Specialties,XLV - Health Care,,NASDAQ
EA,Electronic Arts Inc,Technology Services,Packaged Software,XLC - Communication Services,,NASDAQ
EBAY,eBay Inc,Retail Trade,Internet Retail,XLY - Consumer Discretionary,,NASDAQ
ECL,Ecolab Inc,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
ED,Consolidated Edison Inc,Utilities,Electric Utilities,XLU - Utilities,,NYSE
EFX,Equifax Inc,Commercial Services,Financial Publishing/Services,XLF - Financial,,NYSE
EG,Everest Group Ltd,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
EIX,Edison International,Utilities,Electric Utilities,XLU - Utilities,,NYSE
EL,The Estee Lauder Companies Inc,Consumer Non-durables,Household/Personal Care,XLY - Consumer Discretionary,,NYSE
ELF,elf Beauty Inc,Consumer Non-durables,Household/Personal Care,XLP - Consumer Staples,,NYSE
ELV,Elevance Health Inc,Health Services,Managed Health Care,XLV - Health Care,,NYSE
EME,EMCOR Group Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NYSE
EMN,Eastman Chemical Company,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
EMR,Emerson Electric Co,Producer Manufacturing,Electrical Products,XLI - Industrials,,NYSE
ENB,Enbridge Inc,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
ENPH,Enphase Energy Inc,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NGM
EOG,EOG Resources Inc,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
EPAM,EPAM Systems Inc,Technology Services,Information Technology Services,XLK - Technology,,NYSE
EPD,Enterprise Products Partners LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
EQIX,Equinix Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NASDAQ
EQR,Equity Residential,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
EQT,EQT Corporation,Energy Minerals,Oil & Gas Production,XLE - Energy,,NYSE
ERIE,Erie Indemnity Company,Finance,Property/Casualty Insurance,XLF - Financial,,NASDAQ
ES,Eversource Energy,Utilities,Electric Utilities,XLU - Utilities,,NYSE
ESS,Essex Property Trust Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
ESTC,Elastic NV,Technology Services,Packaged Software,XLK - Technology,,NYSE
ET,Energy Transfer LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
ETN,Eaton Corporation plc,Producer Manufacturing,Electrical Products,XLI - Industrials,,NYSE
ETR,Entergy Corporation,Utilities,Electric Utilities,XLU - Utilities,,NYSE
EVRG,Evergy Inc,Utilities,Electric Utilities,XLU - Utilities,,NASDAQ
EW,Edwards Lifesciences Corporation,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
EXC,Exelon Corporation,Utilities,Electric Utilities,XLU - Utilities,,NASDAQ
EXE,Expand Energy Corporation,Energy Minerals,Oil & Gas Production,XLE - Energy,,NASDAQ
EXPD,Expeditors International of Washington Inc,Transportation,Air Freight/Couriers,XLI - Industrials,,NYSE
EXPE,Expedia Group Inc,Consumer Services,Hotels/Resorts/Cruise lines,XLY - Consumer Discretionary,,NASDAQ
EXR,Extra Space Storage Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
F,Ford Motor Company,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NYSE
FANG,Diamondback Energy Inc,Energy Minerals,Oil & Gas Production,XLE - Energy,,NASDAQ
FAST,Fastenal Company,Distribution Services,Wholesale Distributors,XLI - Industrials,,NASDAQ
FCEL,FuelCell Energy Inc,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NGM
FCX,Freeport-McMoRan Inc,Non-energy Minerals,Other Metals/Minerals,XLB - Materials,,NYSE
FDS,FactSet Research Systems Inc,Technology Services,Packaged Software,XLF - Financial,,NYSE
FDX,FedEx Corporation,Transportation,Air Freight/Couriers,XLI - Industrials,,NYSE
FE,FirstEnergy Corp,Utilities,Electric Utilities,XLU - Utilities,,NYSE
FFIV,F5 Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
FI,Fiserv Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
FICO,Fair Isaac Corporation,Technology Services,Packaged Software,XLF - Financial,,NYSE
FIS,Fidelity National Information Services Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
FITB,Fifth Third Bancorp,Finance,Regional Banks,XLF - Financial,,NASDAQ
FLEX,Flex Ltd,Electronic Technology,Electronic Production Equipment,XLK - Technology,,NASDAQ
FNF,Fidelity National Financial Inc,Finance,Financial Conglomerates,XLF - Financial,,NYSE
FNV,Franco-Nevada Corporation,Non-energy Minerals,Precious Metals,XLB - Materials,,NYSE
FOUR,Shift4 Payments Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
FOX,Fox Corporation,Consumer Services,Broadcasting,XLC - Communication Services,,NASDAQ
FOXA,Fox Corporation,Consumer Services,Broadcasting,XLC - Communication Services,,NASDAQ
FROG,JFrog Ltd,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
FRT,Federal Realty Investment Trust,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
FSK,FS KKR Capital Corp,Finance,Investment Managers,XLF - Financial,,NYSE
FSLR,First Solar Inc,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NASDAQ
FTNT,Fortinet Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
FTV,Fortive Corporation,Electronic Technology,Electronic Equipment/Instruments,XLI - Industrials,,NYSE
GAIN,Gladstone Investment Corporation,Finance,Investment Managers,XLF - Financial,,NASDAQ
GBDC,Golub Capital BDC Inc,Finance,Investment Managers,XLF - Financial,,NASDAQ
GD,General Dynamics Corporation,Electronic Technology,Aerospace & Defense,XLI - Industrials,,NYSE
GDDY,GoDaddy Inc,Technology Services,Internet Software/Services,XLK - Technology,,NYSE
GDOT,Green Dot Corporation,Finance,Finance/Rental/Leasing,XLF - Financial,,NYSE
GE,General Electric Company,Electronic Technology,Electronic Equipment/Instruments,XLI - Industrials,,NYSE
GEHC,GE HealthCare Technologies Inc,Health Technology,Medical Specialties,XLV - Health Care,,NASDAQ
GEL,Genesis Energy LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
GEN,Gen Digital Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
GEV,GE Vernova Inc,Utilities,Alternative Power Generation,XLI - Industrials,,NYSE
GILD,Gilead Sciences Inc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NASDAQ
GIS,General Mills Inc,Consumer Non-durables,Food: Major Diversified,XLP - Consumer Staples,,NYSE
GL,Globe Life Inc,Finance,Life/Health Insurance,XLF - Financial,,NYSE
GLW,Corning Incorporated,Electronic Technology,Electronic Components,XLK - Technology,,NYSE
GM,General Motors Company,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NYSE
GNRC,Generac Holdings Inc,Producer Manufacturing,Electrical Products,XLI - Industrials,,NYSE
GOOG,Alphabet Inc Class C,Technology Services,Internet Software/Services,XLC - Communication Services,,NASDAQ
GOOGL,Alphabet Inc Class A,Technology Services,Internet Software/Services,XLC - Communication Services,,NASDAQ
GPC,Genuine Parts Company,Distribution Services,Wholesale Distributors,XLY - Consumer Discretionary,,NYSE
GPN,Global Payments Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
GRMN,Garmin Ltd,Electronic Technology,Electronic Equipment/Instruments,XLK - Technology,,NYSE
GS,The Goldman Sachs Group Inc,Finance,Investment Banks/Brokers,XLF - Financial,,NYSE
GSBD,Goldman Sachs BDC Inc,Finance,Investment Managers,XLF - Financial,,NYSE
GSK,GSK plc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NYSE
GWRE,Guidewire Software Inc,Technology Services,Packaged Software,XLK - Technology,,NYSE
GWRS,Global Water Resources Inc,Utilities,Water Utilities,XLU - Utilities,,NGM
GWW,WW Grainger Inc,Distribution Services,Wholesale Distributors,XLI - Industrials,,NYSE
HAL,Halliburton Company,Industrial Services,Oilfield Services/Equipment,XLE - Energy,,NYSE
HAS,Hasbro Inc,Consumer Durables,Recreational Products,XLY - Consumer Discretionary,,NASDAQ
HBAN,Huntington Bancshares Incorporated,Finance,Regional Banks,XLF - Financial,,NASDAQ
HCA,HCA Healthcare Inc,Health Services,Hospital/Nursing Management,XLV - Health Care,,NYSE
HD,The Home Depot Inc,Retail Trade,Home Improvement Chains,XLY - Consumer Discretionary,,NYSE
HESM,Hess Midstream LP,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
HIG,The Hartford Insurance Group Inc,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
HII,Huntington Ingalls Industries Inc,Electronic Technology,Aerospace & Defense,XLI - Industrials,,NYSE
HIMS,Hims & Hers Health Inc,,Medical/Nursing Services,XLV - Health Care,,NYSE
HLT,Hilton Worldwide Holdings Inc,Consumer Services,Hotels/Resorts/Cruise lines,XLY - Consumer Discretionary,,NYSE
HOLX,Hologic Inc,Health Technology,Medical Specialties,XLV - Health Care,,NASDAQ
HON,Honeywell International Inc,Electronic Technology,Electronic Equipment/Instruments,XLI - Industrials,,NASDAQ
HOOD,Robinhood Markets Inc,Finance,Investment Banks/Brokers,XLF - Financial,,NASDAQ
HPE,Hewlett Packard Enterprise Company,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NYSE
HPQ,HP Inc,Electronic Technology,Computer Processing Hardware,XLK - Technology,,NYSE
HRL,Hormel Foods Corporation,Consumer Non-durables,Food: Meat/Fish/Dairy,XLP - Consumer Staples,,NYSE
HSIC,Henry Schein Inc,Distribution Services,Medical Distributors,XLV - Health Care,,NASDAQ
HST,Host Hotels & Resorts Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NASDAQ
HSY,The Hershey Company,Consumer Non-durables,Food: Specialty/Candy,XLP - Consumer Staples,,NYSE
HTGC,Hercules Capital Inc,Finance,Investment Managers,XLF - Financial,,NYSE
HUBB,Hubbell Incorporated,Producer Manufacturing,Electrical Products,XLI - Industrials,,NYSE
HUM,Humana Inc,Health Services,Managed Health Care,XLV - Health Care,,NYSE
HWM,Howmet Aerospace Inc,Producer Manufacturing,Aerospace & Defense,XLI - Industrials,,NYSE
HYLN,Hyliion Holdings Corp,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,AMEX
IBKR,Interactive Brokers Group Inc,Finance,Investment Banks/Brokers,XLF - Financial,,NASDAQ
IBM,International Business Machines Corporation,Technology Services,Information Technology Services,XLK - Technology,,NYSE
ICE,Intercontinental Exchange Inc,Finance,Investment Banks/Brokers,XLF - Financial,,NYSE
IDXX,IDEXX Laboratories Inc,Health Technology,Health Technology,XLV - Health Care,,NASDAQ
IESC,IES Holdings Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NGM
IEX,IDEX Corporation,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
IFF,International Flavors & Fragrances Inc,Process Industries,Chemicals: Specialty,XLB - Materials,,NYSE
INCY,Incyte Corporation,Health Technology,Biotechnology,XLV - Health Care,,NASDAQ
INTC,Intel Corporation,Electronic Technology,Semiconductors,XLK - Technology,,NASDAQ
INTU,Intuit Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
INVH,Invitation Homes Inc,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
IP,International Paper Company,Process Industries,Pulp & Paper,XLB - Materials,,NYSE
IPG,The Interpublic Group of Companies Inc,Commercial Services,Miscellaneous Commercial Services,XLC - Communication Services,,NYSE
IQV,IQVIA Holdings Inc,Health Services,Medical/Nursing Services,XLV - Health Care,,NYSE
IR,Ingersoll Rand Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
IRM,Iron Mountain Incorporated,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
ISRG,Intuitive Surgical Inc,Health Technology,Medical Specialties,XLV - Health Care,,NASDAQ
IT,Gartner Inc,Technology Services,Information Technology Services,XLK - Technology,,NYSE
ITW,Illinois Tool Works Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
IVZ,Invesco Ltd,Finance,Investment Managers,XLF - Financial,,NYSE
J,Jacobs Solutions Inc,Industrial Services,Engineering & Construction,XLI - Industrials,,NYSE
JBHT,JB Hunt Transport Services Inc,Transportation,Trucking,XLI - Industrials,,NASDAQ
JBL,Jabil Inc,Electronic Technology,Electronic Production Equipment,XLK - Technology,,NYSE
JBLU,JetBlue Airways Corporation,Transportation,Airlines,XLI - Industrials,airlines aviao,NASDAQ
JCI,Johnson Controls International plc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
JD,JDcom Inc,Retail Trade,Internet Retail,XLY - Consumer Discretionary,,NASDAQ
JKHY,Jack Henry & Associates Inc,Technology Services,Data Processing Services,XLF - Financial,,NASDAQ
JKS,JinkoSolar Holding Co Ltd,Electronic Technology,Electronic Production Equipment,XLU - Utilities,,NYSE
JNJ,Johnson & Johnson,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NYSE
JPM,JPMorgan Chase & Co,Finance,Major Banks,XLF - Financial,,NYSE
K,Kellanova,Consumer Non-durables,Food: Major Diversified,XLP - Consumer Staples,,NYSE
KDP,Keurig Dr Pepper Inc,Consumer Non-durables,Beverages: Non-Alcoholic,XLP - Consumer Staples,,NASDAQ
KEY,KeyCorp,Finance,Regional Banks,XLF - Financial,,NYSE
KEYS,Keysight Technologies Inc,Electronic Technology,Electronic Equipment/Instruments,XLK - Technology,,NYSE
KHC,The Kraft Heinz Company,Consumer Non-durables,Food: Major Diversified,XLP - Consumer Staples,,NASDAQ
KIM,Kimco Realty Corporation,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
KKR,KKR & Co Inc,Finance,Investment Managers,XLF - Financial,,NYSE
KLAC,KLA Corporation,Electronic Technology,Electronic Production Equipment,XLK - Technology,,NASDAQ
KMB,Kimberly-Clark Corporation,Consumer Non-durables,Household/Personal Care,XLP - Consumer Staples,,NASDAQ
KMI,Kinder Morgan Inc,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
KMX,CarMax Inc,Retail Trade,Specialty Stores,XLY - Consumer Discretionary,,NYSE
KNTK,Kinetik Holdings Inc,Industrial Services,Oil & Gas Pipelines,XLE - Energy,,NYSE
KO,The Coca-Cola Company,Consumer Non-durables,Beverages: Non-Alcoholic,XLP - Consumer Staples,,NYSE
KR,The Kroger Co,Retail Trade,Food Retail,XLP - Consumer Staples,,NYSE
KVUE,Kenvue Inc,Consumer Non-durables,Household/Personal Care,XLP - Consumer Staples,,NYSE
L,Loews Corporation,Finance,Financial Conglomerates,XLF - Financial,,NYSE
LCID,Lucid Group Inc,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NASDAQ
LDOS,Leidos Holdings Inc,Technology Services,Information Technology Services,XLI - Industrials,,NYSE
LEN,Lennar Corporation,Consumer Durables,Homebuilding,XLY - Consumer Discretionary,,NYSE
LH,Labcorp Holdings Inc,Health Services,Medical/Nursing Services,XLV - Health Care,,NYSE
LHX,L3Harris Technologies Inc,Electronic Technology,Aerospace & Defense,XLI - Industrials,,NYSE
LI,Li Auto Inc,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NASDAQ
LII,Lennox International Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
LIN,Linde plc,Process Industries,Chemicals: Specialty,XLB - Materials,,NASDAQ
LKQ,LKQ Corporation,Distribution Services,Wholesale Distributors,XLY - Consumer Discretionary,,NASDAQ
